Chromosome	Window	Sample	Value
A1	200000	FCA	5.503
A1	200000	PRU	2.48
A1	200000	IPL	2.035
A1	200000	PVI	1.696
A1	200000	PBE	1.696
A1	100000	FCA	5.539000000000001
A1	100000	PRU	3.175
A1	100000	PBE	2.003
A1	100000	PVI	2.003
A1	100000	IPL	2.5919999999999996
A1	300000	FCA	5.495
A1	300000	PRU	2.605
A1	300000	IPL	1.695
A1	300000	PVI	1.541
A1	300000	PBE	1.541
A1	400000	FCA	5.473999999999999
A1	400000	IPL	2.483
A1	400000	PBE	2.0740000000000003
A1	400000	PVI	2.0740000000000003
A1	400000	PRU	2.939
A1	600000	FCA	5.465
A1	600000	PRU	2.804
A1	600000	IPL	2.426
A1	600000	PVI	1.8659999999999999
A1	600000	PBE	1.8659999999999999
A1	500000	FCA	5.514
A1	500000	PRU	3.0589999999999997
A1	500000	IPL	2.846
A1	500000	PVI	2.244
A1	500000	PBE	2.244
A1	700000	FCA	5.571000000000001
A1	700000	PRU	2.9669999999999996
A1	700000	IPL	2.12
A1	700000	PVI	1.678
A1	700000	PBE	1.678
A1	800000	FCA	5.454
A1	800000	PRU	3.1809999999999996
A1	800000	IPL	2.059
A1	800000	PVI	2.059
A1	800000	PBE	2.281
A1	900000	FCA	5.473
A1	900000	PRU	3.295
A1	900000	PVI	2.442
A1	900000	IPL	2.158
A1	900000	PBE	2.158
A1	1000000	FCA	5.759
A1	1000000	PRU	3.7600000000000002
A1	1000000	IPL	2.468
A1	1000000	PVI	1.8800000000000001
A1	1000000	PBE	1.8800000000000001
A1	1300000	FCA	5.547
A1	1300000	PRU	3.039
A1	1300000	PBE	1.828
A1	1300000	PVI	1.828
A1	1300000	IPL	2.447
A1	1200000	FCA	5.502
A1	1200000	PRU	3.136
A1	1200000	IPL	2.244
A1	1200000	PVI	1.8159999999999998
A1	1200000	PBE	1.8159999999999998
A1	1100000	FCA	5.464
A1	1100000	PRU	3.253
A1	1100000	IPL	2.0789999999999997
A1	1100000	PVI	1.7229999999999999
A1	1100000	PBE	1.7229999999999999
A1	1400000	FCA	5.557
A1	1400000	IPL	2.543
A1	1400000	PBE	1.854
A1	1400000	PVI	1.854
A1	1400000	PRU	3.5360000000000005
A1	1500000	FCA	5.617
A1	1500000	PRU	3.3890000000000002
A1	1500000	IPL	2.41
A1	1500000	PVI	1.892
A1	1500000	PBE	1.892
A1	1600000	FCA	5.461
A1	1600000	PRU	3.322
A1	1600000	IPL	2.481
A1	1600000	PVI	1.879
A1	1600000	PBE	1.879
A1	1700000	FCA	5.508
A1	1700000	PRU	3.2300000000000004
A1	1700000	IPL	2.258
A1	1700000	PVI	1.5150000000000001
A1	1700000	PBE	1.5150000000000001
A1	1900000	FCA	5.584
A1	1900000	PRU	2.932
A1	1900000	IPL	2.311
A1	1900000	PVI	1.59
A1	1900000	PBE	1.59
A1	1800000	FCA	5.556
A1	1800000	PRU	3.117
A1	1800000	PBE	1.664
A1	1800000	PVI	1.664
A1	1800000	IPL	2.37
A1	2200000	FCA	5.708
A1	2200000	IPL	2.197
A1	2200000	PBE	1.839
A1	2200000	PVI	1.839
A1	2200000	PRU	3.2399999999999998
A1	2000000	FCA	5.627
A1	2000000	PRU	3.186
A1	2000000	IPL	2.391
A1	2000000	PVI	1.817
A1	2000000	PBE	1.817
A1	2300000	FCA	5.587000000000001
A1	2300000	IPL	2.281
A1	2300000	PBE	1.473
A1	2300000	PVI	1.473
A1	2300000	PRU	3.143
A1	2100000	FCA	5.558
A1	2100000	PRU	3.4410000000000003
